0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
The Shawshank Redemption,The Godfather,The Dark Knight,The Lord of the Rings: The Return of the King,Schindler's List,12 Angry Men,The Godfather Part II,Pulp Fiction,Inception,The Lord of the Rings: The Fellowship of the Ring,Fight Club,Forrest Gump,The Lord of the Rings: The Two Towers,"Il buono, il brutto, il cattivo",Jai Bhim,777 Charlie,Rocketry: The Nambi Effect,GoodFellas,The Matrix,One Flew Over the Cuckoo's Nest,The Empire Strikes Back,Soorarai Pottru,Interstellar,Se7en,Star Wars,The Silence of the Lambs,The Green Mile,Sen to Chihiro no kamikakushi,Terminator 2: Judgment Day,Saving Private Ryan,Cidade de Deus,La vita è bella,Shichinin no samurai,It's a Wonderful Life,Seppuku,Sita Ramam,Alien,Gladiator,Whiplash,Gisaengchung,The Departed,Back to the Future,Léon,The Prestige,Psycho,The Lion King,Apocalypse Now,The Pianist,American History X,The Usual Suspects,Casablanca,Once Upon a Time in the West,The Intouchables,Hotaru no haka,Rear Window,Nuovo Cinema Paradiso,Modern Times,Kaithi,City Lights,96,Avengers: Endgame,Joker,Kimi no na wa.,Spider-Man: Into the Spider-Verse,The Shining,Django Unchained,Raiders of the Lost Ark,Oldeuboi,The Dark Knight Rises,Aliens,Avengers: Infinity War,Idi i smotri,Memento,Braveheart,Amadeus,Coco,WALL·E,The Lives of Others,3 Idiots,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Capharnaüm,Sunset Blvd.,Das Boot,Witness for the Prosecution,Paths of Glory,The Great Dictator,Tengoku to jigoku,Sardar Udham,Asuran,Drishyam 2,Top Gun: Maverick,Good Will Hunting,Inglourious Basterds,Heat,Requiem for a Dream,American Beauty,A Clockwork Orange,Scarface,Full Metal Jacket,2001: A Space Odyssey
(1994),(1972),(2008),(2003),(1993),(1957),(1974),(1994),(2010),(2001),(1999),(1994),(2002),(1966),(2021),(2022),(2022),(1990),(1999),(1975),(1980),(2020),(2014),(1995),(1977),(1991),(1999),(2001),(1991),(1998),(2002),(1997),(1954),(1946),(1962),(2022),(1979),(2000),(2014),(2019),(2006),(1985),(1994),(2006),(1960),(1994),(1979),(2002),(1998),(1995),(1942),(1968),(2011),(1988),(1954),(1988),(1936),(2019),(1931),(II) (2018),(2019),(I) (2019),(2016),(2018),(1980),(2012),(1981),(2003),(2012),(1986),(2018),(1985),(2000),(1995),(1984),(I) (2017),(2008),(2006),(2009),(1964),(2018),(1950),(1981),(1957),(1957),(1940),(1963),(2021),(2019),(2021),(2022),(1997),(2009),(1995),(2000),(1999),(1971),(1983),(1987),(1968)
142 min,175 min,152 min,201 min,195 min,96 min,202 min,154 min,148 min,178 min,139 min,142 min,179 min,161 min,164 min,136 min,157 min,145 min,136 min,133 min,124 min,153 min,169 min,127 min,121 min,118 min,189 min,125 min,137 min,169 min,130 min,116 min,207 min,130 min,133 min,163 min,117 min,155 min,106 min,132 min,151 min,116 min,110 min,130 min,109 min,88 min,147 min,150 min,119 min,106 min,102 min,165 min,112 min,89 min,112 min,155 min,87 min,145 min,87 min,158 min,181 min,122 min,106 min,117 min,146 min,165 min,115 min,101 min,164 min,137 min,149 min,142 min,113 min,178 min,160 min,105 min,98 min,137 min,170 min,95 min,126 min,110 min,149 min,116 min,88 min,125 min,143 min,164 min,141 min,152 min,130 min,126 min,153 min,170 min,102 min,122 min,136 min,170 min,116 min,149 min
82        ,100        ,84        ,94        ,95        ,97        ,90        ,95        ,74        ,92        ,66        ,82        ,87        ,90        ,,,,91        ,73        ,84        ,82        ,,74        ,65        ,90        ,86        ,61        ,96        ,75        ,91        ,79        ,59        ,98        ,89        ,85        ,,89        ,67        ,89        ,96        ,85        ,87        ,64        ,66        ,97        ,88        ,94        ,85        ,62        ,77        ,100        ,82        ,57        ,94        ,100        ,80        ,96        ,,99        ,,78        ,59        ,79        ,87        ,66        ,81        ,85        ,77        ,78        ,84        ,68        ,,81        ,68        ,88        ,81        ,95        ,89        ,67        ,97        ,75        ,94        ,86        ,76        ,90        ,,90        ,,,,78        ,70        ,69        ,76        ,71        ,84        ,77        ,65        ,78        ,84        
6,8,2,",",2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$28.34M,$134.97M,$534.86M,$377.85M,$96.90M,$4.36M,$57.30M,$107.93M,$292.58M,$315.54M,$37.03M,$330.25M,$342.55M,$6.10M,#235,&&&&,&&&&,$46.84M,$171.48M,$112.00M,$290.48M,&&&&,$188.02M,$100.13M,$322.74M,$130.74M,$136.80M,$10.06M,$204.84M,$216.54M,$7.56M,$57.60M,$0.27M,#20,#45,&&&&,$78.90M,$187.71M,$13.09M,$53.37M,$132.38M,$210.61M,$19.50M,$53.09M,$32.00M,$422.78M,$83.47M,$32.57M,$6.72M,$23.34M,$1.02M,$5.32M,$13.18M,#44,$36.76M,$11.99M,$0.16M,&&&&,$0.02M,&&&&,$858.37M,$335.45M,$5.02M,$190.24M,$44.02M,$162.81M,$248.16M,$0.71M,$448.14M,$85.16M,$678.82M,#92,$25.54M,$75.60M,$51.97M,$209.73M,$223.81M,$11.29M,$6.53M,$0.28M,$1.66M,#59,$11.49M,$8.18M,#60,$0.29M,#86,&&&&,&&&&,&&&&,$718.73M,$138.43M,$120.54M,$67.44M,$3.64M,$130.10M,$6.21M,$45.60M,$46.36M,$56.95M
